DHQPID,SRRID,Name,Genus,Fosfomycin.Heteroresistance
DHQP1500570,SRR5666414,CDC-175,Klebsiella,Heteroresistant
DHQP1501236,SRR5666571,Mu669,Klebsiella,Heteroresistant
DHQP1501237,SRR5666529,Mu733,Klebsiella,Heteroresistant
DHQP1501239,SRR5666530,Mu807,Klebsiella,Heteroresistant
DHQP1501241,SRR5666412,Mu851,Klebsiella,Heteroresistant
DHQP1501242,SRR5666457,Mu863,Klebsiella,Heteroresistant
DHQP1501247,SRR5666569,Mu855,Klebsiella,Heteroresistant
DHQP1501248,SRR5666568,Mu925,Klebsiella,Heteroresistant
DHQP1501249,SRR5666567,Mu957,Klebsiella,Heteroresistant
DHQP1501250,SRR5666566,Mu979,Klebsiella,Resistant
DHQP1501253,SRR5666493,Mu1038,Klebsiella,Heteroresistant
DHQP1501254,SRR5666565,Mu1064,Klebsiella,Resistant
DHQP1501255,SRR5666564,Mu1070,Klebsiella,Resistant
DHQP1501256,SRR5666481,Mu1077,Klebsiella,Resistant
DHQP1501258,SRR5666600,CDC-166,Klebsiella,Resistant
DHQP1501259,SRR5666563,CDC-161,Klebsiella,Heteroresistant
DHQP1501271,SRR5666573,CDC-164,Klebsiella,Heteroresistant
DHQP1501279,SRR5666581,CDC-167,Klebsiella,Heteroresistant
DHQP1501297,SRR5666545,CDC-170,Klebsiella,Heteroresistant
DHQP1501305,SRR5666547,CDC-176,Klebsiella,Heteroresistant
DHQP1501307,SRR5666550,CDC-188,Klebsiella,Heteroresistant
DHQP1501308,SRR5666505,CDC-189,Klebsiella,Heteroresistant
DHQP1501310,SRR5666507,CDC-200,Klebsiella,Heteroresistant
DHQP1501312,SRR5666549,CDC-216,Klebsiella,Resistant
DHQP1501313,SRR5666540,CDC-217,Klebsiella,Heteroresistant
DHQP1501314,SRR5666539,CDC-177,Klebsiella,Heteroresistant
DHQP1501317,SRR5666513,CDC-178,Klebsiella,Heteroresistant
DHQP1501319,SRR5666511,CDC-180,Klebsiella,Heteroresistant
DHQP1501322,SRR5666501,CDC-181,Klebsiella,Heteroresistant
DHQP1501324,SRR5666504,CDC-183,Klebsiella,Heteroresistant
DHQP1501325,SRR5666517,CDC-184,Klebsiella,Heteroresistant
DHQP1501925,SRR5666582,CDC-187,Klebsiella,Heteroresistant
DHQP1501930,SRR5666592,Mu913,Klebsiella,Heteroresistant
DHQP1501936,SRR5666590,Mu995,Klebsiella,Heteroresistant
DHQP1501938,SRR5666595,Mu843,Klebsiella,Heteroresistant
DHQP1501939,SRR5666596,Mu1010,Klebsiella,Resistant
DHQP1501940,SRR5666593,Mu1139,Klebsiella,Heteroresistant
DHQP1501941,SRR5666594,Mu1085,Klebsiella,Resistant
DHQP1501942,SRR5666597,Mu1119,Klebsiella,Resistant
DHQP1501952,SRR5666585,CDC-190,Klebsiella,Heteroresistant
DHQP1501956,SRR5666598,CDC-191,Klebsiella,Heteroresistant
DHQP1501958,SRR5666614,CDC-192,Klebsiella,Heteroresistant
DHQP1501964,SRR5666613,CDC-195,Klebsiella,Heteroresistant
DHQP1501965,SRR5666616,CDC-196,Klebsiella,Heteroresistant
DHQP1501989,SRR5666618,CDC-199,Klebsiella,Heteroresistant
DHQP1502037,SRR5666619,CDC-202,Klebsiella,Heteroresistant
DHQP1502038,SRR5666587,CDC-203,Klebsiella,Heteroresistant
DHQP1502039,SRR5666622,CDC-204,Klebsiella,Heteroresistant
DHQP1502040,SRR5666621,CDC-205,Klebsiella,Resistant
DHQP1502041,SRR5666607,CDC-206,Klebsiella,Heteroresistant
DHQP1502044,SRR5666608,CDC-208,Klebsiella,Heteroresistant
DHQP1502045,SRR5666609,CDC-209,Klebsiella,Heteroresistant
DHQP1502049,SRR5666610,CDC-213,Klebsiella,Heteroresistant
DHQP1502050,SRR5666603,CDC-214,Klebsiella,Heteroresistant
DHQP1502051,SRR5666604,CDC-215,Klebsiella,Heteroresistant
DHQP1600753,SRR5666495,Mu1110,Klebsiella,Heteroresistant
DHQP1600754,SRR5666554,Mu1141,Klebsiella,Resistant
DHQP1600755,SRR5666555,Mu1152,Klebsiella,Susceptible
DHQP1600756,SRR5666556,Mu1157,Klebsiella,Heteroresistant
DHQP1600757,SRR5666551,Mu1172,Klebsiella,Heteroresistant
DHQP1600758,SRR5666552,Mu1146,Klebsiella,Heteroresistant
DHQP1600760,SRR5666606,Mu1176,Klebsiella,Resistant
DHQP1600761,SRR5666601,CDC-218,Klebsiella,Heteroresistant
DHQP1600764,SRR5666602,CDC-219,Klebsiella,Heteroresistant
DHQP1600765,SRR5666522,CDC-220,Klebsiella,Heteroresistant
DHQP1600766,SRR5666521,CDC-221,Klebsiella,Heteroresistant
DHQP1600768,SRR5666404,CDC-223,Klebsiella,Heteroresistant
DHQP1600769,SRR5666519,CDC-224,Klebsiella,Heteroresistant
DHQP1600771,SRR5666526,CDC-225,Klebsiella,Heteroresistant
DHQP1600772,SRR5666525,CDC-226,Klebsiella,Heteroresistant
DHQP1600784,SRR5666527,CDC-230,Klebsiella,Heteroresistant
DHQP1600789,SRR5666403,CDC-233,Klebsiella,Heteroresistant
DHQP1602344,SRR5666541,Mu1242,Klebsiella,Susceptible
DHQP1602344,SRR5666541,Mu1242,Klebsiella,Susceptible
DHQP1602345,SRR5666402,Mu1279,Klebsiella,Heteroresistant
DHQP1602346,SRR5666542,Mu1343,Klebsiella,Heteroresistant
DHQP1602348,SRR5666515,Mu1251,Klebsiella,Heteroresistant
DHQP1602353,SRR5666626,CDC-241,Klebsiella,Heteroresistant
DHQP1602356,SRR5666611,CDC-243,Klebsiella,Heteroresistant
DHQP1602357,SRR5666421,CDC-244,Klebsiella,Heteroresistant
DHQP1602359,SRR5666510,CDC-246,Klebsiella,Heteroresistant
DHQP1602361,SRR5666401,CDC-247,Klebsiella,Heteroresistant
DHQP1602362,SRR5666408,CDC-248,Klebsiella,Heteroresistant
DHQP1602363,SRR5666407,CDC-249,Klebsiella,Heteroresistant
DHQP1602364,SRR5666406,CDC-251,Klebsiella,Heteroresistant
DHQP1602365,SRR5666405,CDC-252,Klebsiella,Heteroresistant
DHQP1602367,SRR5666395,CDC-258,Klebsiella,Heteroresistant
DHQP1602383,SRR5666543,CDC-260,Klebsiella,Heteroresistant
DHQP1602384,SRR5666488,CDC-261,Klebsiella,Heteroresistant
DHQP1602387,SRR5666485,CDC-263,Klebsiella,Heteroresistant
DHQP1603832,SRR5666393,Mu1433,Klebsiella,Heteroresistant
DHQP1603833,SRR5666394,Mu1481,Klebsiella,Heteroresistant
DHQP1603847,SRR5666409,CDC-267,Klebsiella,Heteroresistant
DHQP1603848,SRR5666411,CDC-268,Klebsiella,Heteroresistant
DHQP1603850,SRR5666398,CDC-270,Klebsiella,Heteroresistant
DHQP1603851,SRR5666399,CDC-271,Klebsiella,Susceptible
DHQP1603853,SRR5666509,CDC-273,Klebsiella,Heteroresistant
DHQP1603873,SRR5666428,CDC-42,Klebsiella,Heteroresistant
DHQP1603882,SRR5666546,CDC-34,Klebsiella,Heteroresistant
DHQP1604373,SRR5666424,Mu1253,Klebsiella,Heteroresistant
DHQP1604378,SRR5666433,Mu1310,Klebsiella,Heteroresistant
DHQP1604380,SRR5666449,Mu1323,Klebsiella,Heteroresistant
DHQP1604382,SRR5666447,Mu1360,Klebsiella,Heteroresistant
DHQP1604383,SRR5666446,Mu1398,Klebsiella,Heteroresistant
DHQP1604386,SRR5666452,Mu1411,Klebsiella,Heteroresistant
DHQP1604387,SRR5666451,Mu1413,Klebsiella,Heteroresistant
DHQP1604389,SRR5666450,Mu1432,Klebsiella,Resistant
DHQP1604390,SRR5666455,Mu1435,Klebsiella,Heteroresistant
DHQP1604391,SRR5666454,Mu1497,Klebsiella,Heteroresistant
DHQP1604392,SRR5666413,Mu1516,Klebsiella,Heteroresistant
DHQP1604637,SRR5666477,Mu1521,Klebsiella,Heteroresistant
DHQP1604638,SRR5666478,Mu1465,Klebsiella,Heteroresistant
DHQP1604639,SRR5666475,Mu1466,Klebsiella,Heteroresistant
DHQP1604640,SRR5666476,Mu1187,Klebsiella,Resistant
DHQP1604642,SRR5666473,CDC-39,Klebsiella,Resistant
